582	969	582	969
942	979	793
942	567	942
402	108	402	309
372	368	640	369
139	502	675
329	134	230
739	113	696
947	552	179	660
827	672	538	969
97	960	455	241
867	150	398	150
537	930	581
445	630	712	601
615	400	856	97
455	534	279	534
965	763	763	965
123	777	964	662
793	305	742
483	268	582	749
858	542	866	540
28	303	439
316	392	417
166	512	634	819
606	590	678	590
656	90	571
286	754	965	159
666	983	479	162
326	963	797	963
461	862	757	778
321	632	266	677
451	997	934	525
481	737	903
461	903	856	856
381	103	381	770
121	356	532	228
